Designator,Mid X,Mid Y,Rotation,Layer
C1,151.13,-113.07,270.0,top
C10,125.73,-111.76,270.0,top
C11,81.28,-81.915,270.0,top
C12,81.28,-105.45,270.0,top
C13,86.36,-55.88,270.0,top
C14,115.57,-55.92,270.0,top
C15,144.78,-55.88,270.0,top
C16,86.36,-123.23,270.0,top
C17,151.78,-131.455,0.0,top
C18,159.36,-131.455,180.0,top
C19,84.455,-49.465112,90.0,top
C2,163.84,-123.23,270.0,top
C3,119.38,-123.23,270.0,top
C4,86.36,-68.58,270.0,top
C5,144.78,-68.62,270.0,top
C6,151.13,-103.505,270.0,top
C7,125.73,-81.915,270.0,top
C8,114.935,-68.58,270.0,top
C9,125.73,-104.14,270.0,top
J1,75.71,-73.33,270.0,top
J2,89.535,-136.505,90.0,top
J3,137.765,-49.55,270.0,top
R1,153.01,-123.2,0.0,top
R2,80.923333,-97.14,0.0,top
R3,80.923333,-99.68,0.0,top
R4,80.923333,-102.22,0.0,top
R5,80.4325,-73.33,180.0,top
R6,80.4325,-70.79,180.0,top
R7,80.4325,-68.25,180.0,top
SW1,69.893333,-97.155,0.0,top
U1,154.315,-120.65,90.0,top
U10,128.905,-120.65,90.0,top
U11,84.455,-97.16,90.0,top
U12,84.455,-120.655,90.0,top
U13,89.535,-63.5,90.0,top
U14,118.75,-63.49,90.0,top
U15,147.955,-63.5,90.0,top
U16,89.535,-130.81,90.0,top
U2,167.015,-130.81,90.0,top
U3,122.55,-130.81,90.0,top
U4,89.53,-76.19,90.0,top
U5,147.955,-76.2,90.0,top
U6,154.32,-110.48,90.0,top
U7,128.905,-97.155,90.0,top
U8,118.745,-76.2,90.0,top
U9,128.905,-110.49,90.0,top
Y1,153.01,-127.127,0.0,top
